label,key,description,condition,category,technique,track_type,organism,strain,haplotype,first_author,pubmed_id
niemiec_chg_73_hapA_density,Niemiec HapA PMN Yeast 60-min Density,"Read density, PMN Yeast 60-min, HapA",PMN Yeast 60-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapA_alignments,Niemiec HapA PMN Control Hyphae 0-min Alignments,"Aligned reads, PMN Control Hyphae 0-min, HapA",PMN Hyphae Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapA_coverage,Niemiec HapA PMN Control Hyphae 0-min Coverage,"Read coverage, PMN Control Hyphae 0-min, HapA",PMN Hyphae Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapA_density,Niemiec HapA PMN Control Hyphae 0-min Density,"Read density, PMN Control Hyphae 0-min, HapA",PMN Hyphae Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapA_alignments,Niemiec HapA PMN Hyphae 15-min Alignments,"Aligned reads, PMN Hyphae 15-min, HapA",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapA_coverage,Niemiec HapA PMN Hyphae 15-min Coverage,"Read coverage, PMN Hyphae 15-min, HapA",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapA_density,Niemiec HapA PMN Hyphae 15-min Density,"Read density, PMN Hyphae 15-min, HapA",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapA_alignments,Niemiec HapA PMN Hyphae 30-min Alignments,"Aligned reads, PMN Hyphae 30-min, HapA",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapA_coverage,Niemiec HapA PMN Hyphae 30-min Coverage,"Read coverage, PMN Hyphae 30-min, HapA",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapA_density,Niemiec HapA PMN Hyphae 30-min Density,"Read density, PMN Hyphae 30-min, HapA",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapA_alignments,Niemiec HapA PMN Hyphae 60-min Alignments,"Aligned reads, PMN Hyphae 60-min, HapA",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapA_coverage,Niemiec HapA PMN Hyphae 60-min Coverage,"Read coverage, PMN Hyphae 60-min, HapA",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapA_density,Niemiec HapA PMN Hyphae 60-min Density,"Read density, PMN Hyphae 60-min, HapA",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapA_alignments,Niemiec HapA NET Control Yeast Alignments,"Aligned reads, NET Control Yeast, HapA",NET Yeast Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapA_coverage,Niemiec HapA NET Control Yeast Coverage,"Read coverage, NET Control Yeast, HapA",NET Yeast Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapA_density,Niemiec HapA NET Control Yeast Density,"Read density, NET Control Yeast, HapA",NET Yeast Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapA_alignments,Niemiec HapA NETs Yeast Alignments,"Aligned reads, NETs Yeast, HapA",NETs Yeast,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapA_coverage,Niemiec HapA NETs Yeast Coverage,"Read coverage, NETs Yeast, HapA",NETs Yeast,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapA_density,Niemiec HapA NETs Yeast Density,"Read density, NETs Yeast, HapA",NETs Yeast,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapA_alignments,Niemiec HapA NET Control Hyphae Alignments,"Aligned reads, NET Control Hyphae, HapA",NET Hyphae Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapA_coverage,Niemiec HapA NET Control Hyphae Coverage,"Read coverage, NET Control Hyphae, HapA",NET Hyphae Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapA_density,Niemiec HapA NET Control Hyphae Density,"Read density, NET Control Hyphae, HapA",NET Hyphae Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapA_alignments,Niemiec HapA NETs Hyphae Alignments,"Aligned reads, NETs Hyphae, HapA",NETs Hyphae,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapA_coverage,Niemiec HapA NETs Hyphae Coverage,"Read coverage, NETs Hyphae, HapA",NETs Hyphae,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapA_density,Niemiec HapA NETs Hyphae Density,"Read density, NETs Hyphae, HapA",NETs Hyphae,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_77_hapB_alignments,Niemiec HapB PMN Control Yeast 0-min Alignments,"Aligned reads, PMN Control Yeast 0-min, HapB",PMN Yeast Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_77_hapB_coverage,Niemiec HapB PMN Control Yeast 0-min Coverage,"Read coverage, PMN Control Yeast 0-min, HapB",PMN Yeast Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_77_hapB_density,Niemiec HapB PMN Control Yeast 0-min Density,"Read density, PMN Control Yeast 0-min, HapB",PMN Yeast Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapB_alignments,Niemiec HapB PMN Yeast 15-min Alignments,"Aligned reads, PMN Yeast 15-min, HapB",PMN Yeast 15-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapB_coverage,Niemiec HapB PMN Yeast 15-min Coverage,"Read coverage, PMN Yeast 15-min, HapB",PMN Yeast 15-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_71_hapB_density,Niemiec HapB PMN Yeast 15-min Density,"Read density, PMN Yeast 15-min, HapB",PMN Yeast 15-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapB_alignments,Niemiec HapB PMN Yeast 30-min Alignments,"Aligned reads, PMN Yeast 30-min, HapB",PMN Yeast 30-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapB_coverage,Niemiec HapB PMN Yeast 30-min Coverage,"Read coverage, PMN Yeast 30-min, HapB",PMN Yeast 30-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_72_hapB_density,Niemiec HapB PMN Yeast 30-min Density,"Read density, PMN Yeast 30-min, HapB",PMN Yeast 30-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_73_hapB_alignments,Niemiec HapB PMN Yeast 60-min Alignments,"Aligned reads, PMN Yeast 60-min, HapB",PMN Yeast 60-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_73_hapB_coverage,Niemiec HapB PMN Yeast 60-min Coverage,"Read coverage, PMN Yeast 60-min, HapB",PMN Yeast 60-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_73_hapB_density,Niemiec HapB PMN Yeast 60-min Density,"Read density, PMN Yeast 60-min, HapB",PMN Yeast 60-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapB_alignments,Niemiec HapB PMN Control Hyphae 0-min Alignments,"Aligned reads, PMN Control Hyphae 0-min, HapB",PMN Hyphae Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapB_coverage,Niemiec HapB PMN Control Hyphae 0-min Coverage,"Read coverage, PMN Control Hyphae 0-min, HapB",PMN Hyphae Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_75_hapB_density,Niemiec HapB PMN Control Hyphae 0-min Density,"Read density, PMN Control Hyphae 0-min, HapB",PMN Hyphae Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapB_alignments,Niemiec HapB PMN Hyphae 15-min Alignments,"Aligned reads, PMN Hyphae 15-min, HapB",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapB_coverage,Niemiec HapB PMN Hyphae 15-min Coverage,"Read coverage, PMN Hyphae 15-min, HapB",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_79_hapB_density,Niemiec HapB PMN Hyphae 15-min Density,"Read density, PMN Hyphae 15-min, HapB",PMN Hyphae 15-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapB_alignments,Niemiec HapB PMN Hyphae 30-min Alignments,"Aligned reads, PMN Hyphae 30-min, HapB",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapB_coverage,Niemiec HapB PMN Hyphae 30-min Coverage,"Read coverage, PMN Hyphae 30-min, HapB",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_80_hapB_density,Niemiec HapB PMN Hyphae 30-min Density,"Read density, PMN Hyphae 30-min, HapB",PMN Hyphae 30-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapB_alignments,Niemiec HapB PMN Hyphae 60-min Alignments,"Aligned reads, PMN Hyphae 60-min, HapB",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapB_coverage,Niemiec HapB PMN Hyphae 60-min Coverage,"Read coverage, PMN Hyphae 60-min, HapB",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_81_hapB_density,Niemiec HapB PMN Hyphae 60-min Density,"Read density, PMN Hyphae 60-min, HapB",PMN Hyphae 60-min,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapB_alignments,Niemiec HapB NET Control Yeast Alignments,"Aligned reads, NET Control Yeast, HapB",NET Yeast Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapB_coverage,Niemiec HapB NET Control Yeast Coverage,"Read coverage, NET Control Yeast, HapB",NET Yeast Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_76_hapB_density,Niemiec HapB NET Control Yeast Density,"Read density, NET Control Yeast, HapB",NET Yeast Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapB_alignments,Niemiec HapB NETs Yeast Alignments,"Aligned reads, NETs Yeast, HapB",NETs Yeast,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapB_coverage,Niemiec HapB NETs Yeast Coverage,"Read coverage, NETs Yeast, HapB",NETs Yeast,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_70_hapB_density,Niemiec HapB NETs Yeast Density,"Read density, NETs Yeast, HapB",NETs Yeast,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapB_alignments,Niemiec HapB NET Control Hyphae Alignments,"Aligned reads, NET Control Hyphae, HapB",NET Hyphae Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapB_coverage,Niemiec HapB NET Control Hyphae Coverage,"Read coverage, NET Control Hyphae, HapB",NET Hyphae Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_74_hapB_density,Niemiec HapB NET Control Hyphae Density,"Read density, NET Control Hyphae, HapB",NET Hyphae Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapB_alignments,Niemiec HapB NETs Hyphae Alignments,"Aligned reads, NETs Hyphae, HapB",NETs Hyphae,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapB_coverage,Niemiec HapB NETs Hyphae Coverage,"Read coverage, NETs Hyphae, HapB",NETs Hyphae,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
niemiec_chg_69_hapB_density,Niemiec HapB NETs Hyphae Density,"Read density, NETs Hyphae, HapB",NETs Hyphae,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Niemiec,28874114
,,,,,,,,,,,
bruno_ypd_hapA_alignments,Bruno HapA Serum-control Alignments,"Aligned strand-specific reads, serum control, Hap A",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ypd_hapA_coverage,Bruno HapA Serum-control Coverage,"Read coverage, serum control, Hap A",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ypd_hapA_density,Bruno HapA Serum-control Density,"Read density, serum control, Hap A",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ypd_hapB_alignments,Bruno HapB Serum-control Alignments,"Aligned strand-specific reads, serum control, Hap B",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ypd_hapB_coverage,Bruno HapB Serum-control Coverage,"Read coverage, serum control, Hap B",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ypd_hapB_density,Bruno HapB Serum-control Density,"Read density, serum control, Hap B",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapA_alignments,Bruno HapA Serum Alignments,"Aligned strand-specific reads, serum, Hap A",Serum,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapA_coverage,Bruno HapA Serum Coverage,"Read coverage, serum, Hap A",Serum,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapA_density,Bruno HapA Serum Density,"Read density, serum, Hap A",Serum,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapB_alignments,Bruno HapB Serum Alignments,"Aligned strand-specific reads, serum, Hap B",Serum,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapB_coverage,Bruno HapB Serum Coverage,"Read coverage, serum, Hap B",Serum,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_serum_hapB_density,Bruno HapB Serum Density,"Read density, serum, Hap B",Serum,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapA_alignments,Bruno HapA Nitrosative Stress Alignments,"Aligned reads, nitrosative stress (DPTA-NONOate), Hap A",Nitrosative Stress,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapA_coverage,Bruno HapA Nitrosative Stress Coverage,"Read coverage, nitrosative stress (DPTA-NONOate), Hap A",Nitrosative Stress,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapA_density,Bruno HapA Nitrosative Stress Density,"Read density, nitrosative stress (DPTA-NONOate), Hap A",Nitrosative Stress,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapB_alignments,Bruno HapB Nitrosative Stress Alignments,"Aligned reads, nitrosative stress (DPTA-NONOate), Hap B",Nitrosative Stress,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapB_coverage,Bruno HapB Nitrosative Stress Coverage,"Read coverage, nitrosative stress (DPTA-NONOate), Hap B",Nitrosative Stress,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSp_hapB_density,Bruno HapB Nitrosative Stress Density,"Read density, nitrosative stress (DPTA-NONOate), Hap B",Nitrosative Stress,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapA_alignments,Bruno HapA Nitrosative Stress Control Alignments,"Aligned reads, nitrosative stress control, Hap A",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapA_coverage,Bruno HapA Nitrosative Stress Control Coverage,"Read coverage, nitrosative stress control, Hap A",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapA_density,Bruno HapA Nitrosative Stress Control Density,"Read density, nitrosative stress control, Hap A",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapB_alignments,Bruno HapB Nitrosative Stress Control Alignments,"Aligned reads, nitrosative stress control, Hap B",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapB_coverage,Bruno HapB Nitrosative Stress Control Coverage,"Read coverage, nitrosative stress control, Hap B",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_nitroSm_hapB_density,Bruno HapB Nitrosative Stress Control Density,"Read density, nitrosative stress control, Hap B",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapA_alignments,Bruno HapA Cell Wall Damage Alignments,"Aligned reads, cell wall damage (congo red), Hap A",Cell Wall Damage,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapA_coverage,Bruno HapA Cell Wall Damage Coverage,"Read coverage, cell wall damage (congo red), Hap A",Cell Wall Damage,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapA_density,Bruno HapA Cell Wall Damage Density,"Read density, cell wall damage (congo red), Hap A",Cell Wall Damage,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapB_alignments,Bruno HapB Cell Wall Damage Alignments,"Aligned reads, cell wall damage (congo red), Hap B",Cell Wall Damage,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapB_coverage,Bruno HapB Cell Wall Damage Coverage,"Read coverage, cell wall damage (congo red), Hap B",Cell Wall Damage,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdp_hapB_density,Bruno HapB Cell Wall Damage Density,"Read density, cell wall damage (congo red), Hap B",Cell Wall Damage,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapA_alignments,Bruno HapA Cell Wall Damage Control Alignments,"Aligned reads, cell wall damage control, Hap A",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapA_coverage,Bruno HapA Cell Wall Damage Control Coverage,"Read coverage, cell wall damage control, Hap A",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapA_density,Bruno HapA Cell Wall Damage Control Density,"Read density, cell wall damage control, Hap A",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapB_alignments,Bruno HapB Cell Wall Damage Control Alignments,"Aligned reads, cell wall damage control, Hap B",Control,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapB_coverage,Bruno HapB Cell Wall Damage Control Coverage,"Read coverage, cell wall damage control, Hap B",Control,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_cwdm_hapB_density,Bruno HapB Cell Wall Damage Control Density,"Read density, cell wall damage control, Hap B",Control,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapA_alignments,Bruno HapA pH 4 Alignments,"Aligned strand-specific reads, pH 4, Hap A",pH 4,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapA_coverage,Bruno HapA pH 4 Coverage,"Read coverage, pH 4, Hap A",pH 4,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapA_density,Bruno HapA pH 4 Density,"Read density, pH 4, Hap A",pH 4,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapB_alignments,Bruno HapB pH 4 Alignments,"Aligned strand-specific reads, pH 4, Hap B",pH 4,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapB_coverage,Bruno HapB pH 4 Coverage,"Read coverage, pH 4, Hap B",pH 4,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph4_hapB_density,Bruno HapB pH 4 Density,"Read density, pH 4, Hap B",pH 4,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapA_alignments,Bruno HapA pH 8 Alignments,"Aligned strand-specific reads, pH 8, Hap A",pH 8,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapA_coverage,Bruno HapA pH 8 Coverage,"Read coverage, pH 8, Hap A",pH 8,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapA_density,Bruno HapA pH 8 Density,"Read density, pH 8, Hap A",pH 8,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapB_alignments,Bruno HapB pH 8 Alignments,"Aligned strand-specific reads, pH 8, Hap B",pH 8,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapB_coverage,Bruno HapB pH 8 Coverage,"Read coverage, pH 8, Hap B",pH 8,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_ph8_hapB_density,Bruno HapB pH 8 Density,"Read density, pH 8, Hap B",pH 8,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,B,Bruno,20810668
,,,,,,,,,,,
bruno_hOxi_hapA_alignments,Bruno HapA High Oxidative Stress Alignments,"Aligned reads, high oxidative stress (5mM H2O2), Hap A",Oxidative Stress,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_hOxi_hapA_coverage,Bruno HapA High Oxidative Stress Coverage,"Read coverage, high oxidative stress (5mM H2O2), Hap A",Oxidative Stress,Gene Expression,RNA-Seq,Coverage plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_hOxi_hapA_density,Bruno HapA High Oxidative Stress Density,"Read density, high oxidative stress (5mM H2O2), Hap A",Oxidative Stress,Gene Expression,RNA-Seq,Density plot,C. albicans,SC5314,A,Bruno,20810668
,,,,,,,,,,,
bruno_hOxi_hapB_alignments,Bruno HapB High Oxidative Stress Alignments,"Aligned reads, high oxidative stress (5mM H2O2), Hap B",Oxidative Stress,Gene Expression,RNA-Seq,Aligned reads,C. albicans,SC5314,B,Bruno,20810668
